vdaniovndioanviosanvsavksdlanvidsonvdklavkmdsaiovndsa	vnsanvoisdanvkadsnviosandvoisadnvsdoiamcsaovoianvoisadviosnaivoanovndoa
locusta migratoria	Locusta migratoria
homo sapiens	Homo sapiens
erigeron annuus l. pers	Erigeron annuus
scylla serrata	Scylla serrata
equus caballus	Equus caballus
felis catus	Felis catus
canis lupus familiaris	Canis lupus familiaris
solanum tuberosum	Solanum tuberosum
tobacco	Nicotiana tabacum
sus	Sus
bos taurus	Bos taurus
euphausia superba	Euphausia superba
anas platyrhynchos	Anas platyrhynchos
sus scrofa domesticus	Sus scrofa domesticus
meleagris gallopavo	Meleagris gallopavo
leptinotarsa decemlineata	Leptinotarsa decemlineata
skeletonema costatum	Skeletonema costatum
clematis	Clematis
sus scrofa	Sus scrofa
pyrus pyrifolia	Pyrus pyrifolia
cattle	Bos taurus
citrus	Citrus
skeletonema menzelii	Skeletonema menzelii
male	Lamproblatta sp. LA male
female	Colobostema sp. female
potato	Solanum tuberosum
bovine	Bos taurus
kandelia candel (mangrove)	Kandelia candel
channa argus (snakehead fish)	Channa argus
agroiconota sp.	Agroiconota
charidotella sexpunctata	Charidotella sexpunctata
discomorpha sp.	Discomorpha
acromis sparsa	Acromis sparsa
cistudinella sp.	Cistudinella
chelymorpha alternans	Chelymorpha alternans
ischnocodia annulus	Ischnocodia annulus
parachirida sp.	Parachirida
cassida vibex	Cassida vibex
cassida sp.	Cassida
cassida viridis	Cassida viridis
seriola lalandi	Seriola lalandi
echinacea purpurea	Echinacea purpurea
pentalonia nigronervosa	Pentalonia nigronervosa
oxytropis kamtschatica	Oxytropis kamtschatica
vicia sativa	Vicia sativa
melilotus officinalis	Melilotus officinalis
medicago sativa	Medicago sativa
lathyrus sativus	Lathyrus sativus
trifolium repens	Trifolium repens
turkey	Meleagris gallopavo
oryza sativa	Oryza sativa
pig	Sus scrofa
apostichopus japonicus	Apostichopus japonicus
sablefish	Anoplopoma fimbria
plantain	Musa ABB Group
microlophium carnosum	Microlophium carnosum
aphis urticata	Aphis urticata
duck	Anas platyrhynchos
chicken	Gallus gallus
brassica rapa subsp. pekinensis	Brassica rapa subsp. pekinensis
lolium arundinaceum	Lolium arundinaceum
punica granatum	Punica granatum
camponotus chromaiodes	Camponotus chromaiodes
rabbit	Oryctolagus cuniculus
pneumoniae	Klebsiella pneumoniae
rice	Oryza sativa
cow	Bos taurus
nezara viridula (cotton pathogen vector; southern green stink bug)	Nezara viridula
nusuttodinium aeruginosum	Nusuttodinium aeruginosum
olea europaea	Olea europaea
medicago truncatula	Medicago truncatula
odocoileus virginianus	Odocoileus virginianus
gallus gallus domesticus	Gallus gallus
pseudotrichonympha sp.	Pseudotrichonympha sp.
crassostrea gigas (pacific oyster)	Crassostrea gigas
pthirus gorillae	Pthirus gorillae
oryctolagus cuniculus	Oryctolagus cuniculus
oncorhynchus mykiss	Oncorhynchus mykiss
pseudotrichonympha grassii (protist) in the gut of the termite coptotermes formosanus	Pseudotrichonympha grassii
glossina morsitans morsitans	Glossina morsitans morsitans
glossina brevipalpis	Glossina brevipalpis
amblyomma cajennense	Amblyomma cajennense
columba livia	Columba livia
amazona sp.	Amazona sp.
rattus	Rattus
ginger	Zingiber officinale
draeculacephala minerva	Draeculacephala minerva
goose	Anser sp.
apple	Malus domestica
cat	Felis catus
horse	Equus caballus
gull	Laridae
junco	Junco
canis lupus	Canis lupus
oedothorax gibbosus	Oedothorax gibbosus
ixodes persulcatus	Ixodes persulcatus
allamanda cathartica	Allamanda cathartica
ixodes ricinus	Ixodes ricinus
turbo	Urocentrum turbo
capsicum sp.	Capsicum
trichechus manatus	Trichechus manatus
sus scrofa scrofa	Sus scrofa scrofa
megaspora	Megaspora
gallus gallus	Gallus gallus
sus scrofa domestica	Sus scrofa domesticus
aphis craccivora (cowpea aphid)	Aphis craccivora
cereibacter sphaeroides 2.4.1	Cereibacter sphaeroides 2.4.1
phyla canescens	Phyla canescens
ficus benjamina	Ficus benjamina
swine	Sus scrofa
spodoptera frugiperda	Spodoptera frugiperda
penaeus vannamei	Penaeus vannamei
dog	Canis lupus familiaris
solanum lycopersicum	Solanum lycopersicum
nebria ingens riversi	Nebria ingens riversi
cucurbita maxima	Cucurbita maxima
eruca vesicaria subsp. sativa	Eruca vesicaria subsp. sativa
anodonta arcaeformis	Anodonta arcaeformis
phaeoceros	Phaeoceros
blasia pusilla	Blasia pusilla
leiosporoceros dussii	Leiosporoceros dussii
shinkaia crosnieri	Shinkaia crosnieri
solanum lycopersicum (tomato)	Solanum lycopersicum
penaeus (litopenaeus) vannamei (whiteleg shrimp)	Penaeus
arabidopsis	Arabidopsis
bacteria	Bacteria
goat	Capra hircus
vultur gryphus	Vultur gryphus
mizuhopecten yessoensis	Mizuhopecten yessoensis
vitis vinifera	Vitis vinifera
elymus tsukushiensis	Elymus tsukushiensis
pyrus pyrifolia var. culta	Pyrus pyrifolia var. culta
haliotis discus hannai	Haliotis discus hannai
cancer pagurus	Cancer pagurus
penaeus monodon	Penaeus monodon
panulirus ornatus	Panulirus ornatus
ovis aries (domestic sheep)	Ovis aries
trichodesmium erythraeum ims101	Trichodesmium erythraeum IMS101
neopyropia tenera	Neopyropia tenera
dermacentor andersoni	Dermacentor andersoni
onion	Allium cepa
alexandrium minutum	Alexandrium minutum
adenophora trachelioides maxim.	Adenophora trachelioides
tomato	Solanum lycopersicum
buteo jamaicensis	Buteo jamaicensis
odontobutis platycephala	Odontobutis platycephala
allium cepa	Allium cepa
cotinus coggygria	Cotinus coggygria
apis mellifera	Apis mellifera
citrus hystrix	Citrus hystrix
ceratitis capitata	Ceratitis capitata
macrobrachium nipponense	Macrobrachium nipponense
cotton	Gossypium hirsutum
salvelinus fontinalis	Salvelinus fontinalis
musa sp.	Musa sp.
perca fluviatilis	Perca fluviatilis
bursaphelenchus xylophilus	Bursaphelenchus xylophilus
miscanthus x giganteus	Miscanthus x giganteus
cryptomeria japonica var. sinensis	Cryptomeria japonica var. sinensis
cryptocercus punctulatus	Cryptocercus punctulatus
macaca silenus	Macaca silenus
chroicocephalus novaehollandiae (australian silver gull chick)	Chroicocephalus novaehollandiae
dracaena sanderiana	Dracaena sanderiana
tanakia koreensis	Tanakia koreensis
ficus religiosa l.	Ficus religiosa
homo	Homo
citrus aurantiifolia	Citrus aurantiifolia
citrus x paradisi	Citrus x paradisi
argas persicus	Argas persicus
glycine max	Glycine max
panicum miliaceum	Panicum miliaceum
argopecten purpuratus	Argopecten purpuratus
malus prunifolia (crab apple)	Malus prunifolia
salvia splendens	Salvia splendens
drosophila melanogaster	Drosophila melanogaster
pyropia	Pyropia
carrot	Daucus carota
oncorhynchus kisutch	Oncorhynchus kisutch
paralichthys olivaceus	Paralichthys olivaceus
dicentrarchus labrax	Dicentrarchus labrax
garlic, cabbage	Brassica oleracea var. capitata
trimyema compressum	Trimyema compressum
mus musculus	Mus musculus
camellia oleifera	Camellia oleifera
tephrosia purpurea subsp. apollinea	Tephrosia purpurea subsp. apollinea
eggplant	Solanum melongena
salmo salar	Salmo salar
solanum commersonii	Solanum commersonii
yak	Bos grunniens
trigona sp.	Trigona
cormorant	Phalacrocorax carbo
sweet orange	Citrus sinensis
omphisa fuscidentalis hampson	Omphisa fuscidentalis
phaseolus vulgaris	Phaseolus vulgaris
solanum muricatum	Solanum muricatum
ornithodoros hermsi	Ornithodoros hermsi
avian	Aves
chroicocephalus novaehollandiae	Chroicocephalus novaehollandiae
ovis aries	Ovis aries
rattus norvegicus	Rattus norvegicus
paguma larvata	Paguma larvata
giant panda	Ailuropoda melanoleuca
deer	Cervidae
pogostemon cablin	Pogostemon cablin
papio papio	Papio papio
dairy cow	Bos taurus
homo sapiens (female)	Homo sapiens
sheep	Ovis aries
crocodylus siamensis	Crocodylus siamensis
brassica rapa	Brassica rapa
vigna radiata	Vigna radiata
corvus brachyrhynchos	Corvus brachyrhynchos
homo sapiens (respiratory patient)	Homo sapiens
marmota	Marmota
bos mutus	Bos mutus
white stork	Ciconia ciconia
rosa sp.	Rosa sp.
solanum lycopersicum l.	Solanum lycopersicum
grateloupia sp.	Grateloupia sp.
pear	Pyrus communis
penaeus vannamei (shrimp)	Penaeus vannamei
ellychnia corrusca	Ellychnia corrusca
mandarin orange	Citrus reticulata
phoca vitulina	Phoca vitulina
callyspongia	Callyspongia
soybean	Glycine max
oxytropis triphylla	Oxytropis triphylla
vavilovia formosa	Vavilovia formosa
stereocaulon sp.	Stereocaulon sp.
japanese radish	Raphanus sativus var. niger
digitaria eriantha	Digitaria eriantha
phaseolus sp.	Phaseolus
silkworm	Bombyx mori
macroplea mutica	Macroplea mutica
plateumaris pusilla	Plateumaris pusilla
chrysanthemum x morifolium	Chrysanthemum x morifolium
zea mays	Zea mays
rhodosorus marinus	Rhodosorus marinus
achillea ptarmica	Achillea ptarmica
ixodes pacificus (western blackleg tick)	Ixodes pacificus
lentil	Lens culinaris
populus davidiana x populus alba var. pyramidalis (pdpap)	Populus davidiana x Populus alba var. pyramidalis
vicia alpestris	Vicia alpestris
agave americana l.	Agave americana
bighead carp	Hypophthalmichthys nobilis
raspberry	Phytophthora taxon raspberry
prosopis cineraria	Prosopis cineraria
vachellia farnesiana	Vachellia farnesiana
lotus japonicus	Lotus japonicus
medicago lupulina l.	Medicago lupulina
onobrychis viciifolia	Onobrychis viciifolia
arachis hypogaea	Arachis hypogaea
oxytropis pumilio	Oxytropis pumilio
acaciella angustissima	Acaciella angustissima
pisum sativum l. (pea)	Pisum sativum
fusarium oxysporum f. sp. cucumerinum	Fusarium oxysporum f. sp. cucumerinum
trifolium spumosum l. (annual mediterranean clovers)	Trifolium spumosum
lotus sp.	Lotus
lotus corniculatus	Lotus corniculatus
trifolium pratense	Trifolium pratense
fava bean	Vicia faba
lespedeza cuneata	Lespedeza cuneata
beta vulgaris	Beta vulgaris
wheat	Triticum aestivum
juglans regia	Juglans regia
nasonia vitripennis	Nasonia vitripennis
thlaspi arvense	Thlaspi arvense
psoroma sp.	Psoroma
prunus sp.	Prunus
rubus sp.	Rubus
euonymus sp.	Euonymus
phaseolus	Phaseolus
rosa	Rosa
oryza glumipatula	Oryza glumipatula
plant	Gelid plant
glycine soja	Glycine soja
pisum sativum	Pisum sativum
alfalfa	Medicago sativa
medicago arborea	Medicago arborea
robinia pseudoacacia	Robinia pseudoacacia
lotus	Lotus
astragalus pelecinus	Astragalus pelecinus
cicer arietinum	Cicer arietinum
medicago orbicularis	Medicago orbicularis
mimosa affinis	Mimosa affinis
red kangaroo	Osphranter rufus
aphis fabae	Aphis fabae
prunus dulcis	Prunus dulcis
mulberry	Cryphalus sp. 4187 mulberry
ixodes scapularis	Ixodes scapularis
glycine	Glycine
oreochromis niloticus	Oreochromis niloticus
grass carp	Ctenopharyngodon idella
hippopotamus amphibius	Hippopotamus amphibius
marmota himalayana	Marmota himalayana
hyacinthus orientalis	Hyacinthus orientalis
triticum aestivum	Triticum aestivum
anguilla anguilla	Anguilla anguilla
allium cepa (onion)	Allium cepa
catalpa	Catalpa
perinereis linea	Perinereis linea
tanacetum vulgare	Tanacetum vulgare
androsace koso-poljanskii	Androsace koso-poljanskii
sorghum bicolor	Sorghum bicolor
prunus avium	Prunus avium
plateau pika	Ochotona curzoniae
zophobas atratus	Zophobas atratus
physopelta gutta	Physopelta gutta
pan troglodytes verus (western chimpanzee)	Pan troglodytes verus
ailuropoda melanoleuca	Ailuropoda melanoleuca
equine	Equus caballus
atlantic salmon	Salmo salar
lolium perenne	Lolium perenne
scophthalmus maximus	Scophthalmus maximus
ulva pertusa (algae)	Ulva pertusa
capsicum frutescens	Capsicum frutescens
geronticus eremita	Geronticus eremita
citrus limon	Citrus limon
solea senegalensis	Solea senegalensis
cyclopterus lumpus	Cyclopterus lumpus
gossypium hirsutum	Gossypium hirsutum
panax ginseng	Panax ginseng
hydrophilus acuminatus	Hydrophilus acuminatus
oecophylla smaragdina	Oecophylla smaragdina
rainbow trout	Oncorhynchus mykiss
neophocaena asiaeorientalis	Neophocaena asiaeorientalis
peanut	Arachis hypogaea
commiphora wightii	Commiphora wightii
citrus sinensis	Citrus sinensis
bigeye tuna	Thunnus obesus
pelodiscus sinensis	Pelodiscus sinensis
catharanthus roseus	Catharanthus roseus
catfish	catfish
trypoxylus dichotomus	Trypoxylus dichotomus
acyrthosiphon pisum	Acyrthosiphon pisum
discus	Discus
allium cepa l.	Allium cepa
ixodes pacificus	Ixodes pacificus
crocodile lizard	Shinisaurus crocodilurus
brassica juncea var. foliosa	Brassica juncea var. subintegrifolia
brassica rapa subsp. chinensis	Brassica rapa subsp. chinensis
bombyx mori	Bombyx mori
phoca largha	Phoca largha
cladonia borealis	Cladonia borealis
neoaliturus tenellus	Neoaliturus tenellus
haliclona simulans	Haliclona simulans
apodemus agrarius	Apodemus agrarius
himantormia	Himantormia
leontopodium nivale	Leontopodium nivale
syngnathus typhle	Syngnathus typhle
solanum melongena	Solanum melongena
botryllus sp.	Botryllus
cucumis sativus	Cucumis sativus
aphis glycines	Aphis glycines
pteropus poliocephalus	Pteropus poliocephalus
allacta bimaculata	Allacta bimaculata
apterostigma dentigerum	Apterostigma dentigerum
apterostigma	Apterostigma
diaphorina citri	Diaphorina citri
mimosa flocculosa	Mimosa flocculosa
blaberus giganteus	Blaberus giganteus
mastotermes darwiniensis	Mastotermes darwiniensis
american cockroach	Periplaneta americana
lactuca sativa	Lactuca sativa
bactrocera dorsalis	Bactrocera dorsalis
urocitellus undulatus	Urocitellus undulatus
spermophilus sp.	Spermophilus sp.
marmota baibacina	Marmota baibacina
marmota sibirica	Marmota sibirica
cerambycidae sp.	Cerambycidae
actinidia deliciosa	Actinidia deliciosa
chinese cabbage	Brassica rapa subsp. pekinensis
eucalyptus	Eucalyptus
vicia faba	Vicia faba
soybean (glycine max)	Glycine max
flammulina filiformis	Flammulina filiformis
hirudo verbana	Hirudo verbana
mimosa	Mimosa
crucian carp	Carassius carassius
mustela putorius furo	Mustela putorius furo
human (male, 4.5 yrs)	Homo sapiens
mercenaria mercenaria	Mercenaria mercenaria
paralichthys olivaceus (flounder)	Paralichthys olivaceus
cinara cedri	Cinara cedri
penaeus japonicus	Penaeus japonicus
macrotermes barneyi	Macrotermes barneyi
cryptocercus clevelandi	Cryptocercus clevelandi
cryptocercus kyebangensis	Cryptocercus kyebangensis
phyllophaga sp.	Phyllophaga
curcuma aromatica	Curcuma aromatica
zingiber officinale	Zingiber officinale
bankia setacea	Bankia setacea
halyomorpha halys	Halyomorpha halys
myzus persicae (green peach aphid)	Myzus persicae
myzus persicae	Myzus persicae
oreochromis	Oreochromis
nauphoeta cinerea	Nauphoeta cinerea
blatta orientalis	Blatta orientalis
amblyomma variegatum (cattle tick)	Amblyomma variegatum
tibetan antelope	Pantholops hodgsonii
galleria mellonella	Galleria mellonella
leontopodium alpinum	Leontopodium alpinum
grapefruit	Citrus x paradisi
tegillarca granosa	Tegillarca granosa
pseudorca crassidens	Pseudorca crassidens
nematode	Nematoda
pteropus livingstonii	Pteropus livingstonii
malus sieversii	Malus sieversii
urochloa reptans	Urochloa reptans
nostoc flagelliforme	Nostoc flagelliforme
sipalinus gigas	Sipalinus gigas
muscari	Muscari
moschus berezovskii	Moschus berezovskii
alligator	Alligator
actinidia chinensis	Actinidia chinensis
canis latrans	Canis latrans
sebastes schlegelii	Sebastes schlegelii
bos primigenius taurus	Bos taurus
eucommia ulmoides	Eucommia ulmoides
caenorhabditis elegans	Caenorhabditis elegans
trichonympha agilis	Trichonympha agilis
togo hemipterus	Togo hemipterus
nipponaphis monzeni	Nipponaphis monzeni
ixodes ovatus	Ixodes ovatus
geodia barretti	Geodia barretti
caenorhabditis briggsae	Caenorhabditis briggsae
acanthamoeba	Acanthamoeba
delphinapterus leucas (beluga whale)	Delphinapterus leucas
ruddy shelduck	Tadorna ferruginea
seriola dumerili	Seriola dumerili
lemna minor	Lemna minor
turbot	Scophthalmus maximus
morone chrysops x morone saxatilis	Morone chrysops x Morone saxatilis
tuberolachnus salignus	Tuberolachnus salignus
ictalurus punctatus	Ictalurus punctatus
usnea	Usnea
naegleria	Naegleria
haemaphysalis juxtakochi	Haemaphysalis juxtakochi
riptortus pedestris	Riptortus pedestris
megacopta punctatissima	Megacopta punctatissima
penaeus vannamei (whiteleg shrimp)	Penaeus vannamei
amblyomma neumanni	Amblyomma neumanni
beluga whale	Delphinapterus leucas
pediculus humanus corporis	Pediculus humanus corporis
equus kiang	Equus kiang
peromyscus leucopus	Peromyscus leucopus
capsicum annuum	Capsicum annuum
crassostrea gigas	Crassostrea gigas
polytelis	Polytelis
plum	Prunus domestica
sesame	Sesamum indicum
actinidia	Actinidia
silurus asotus	Silurus asotus
prunus cerasifera	Prunus cerasifera
hibiscus	Hibiscus
aratinga solstitialis	Aratinga solstitialis
ondatra zibethicus	Ondatra zibethicus
baizongia pistaciae	Baizongia pistaciae
anguilla japonica	Anguilla japonica
lagenorhynchus acutus	Lagenorhynchus acutus
areca catechu	Areca catechu
uroleucon ambrosiae	Uroleucon ambrosiae
acyrthosiphon kondoi	Acyrthosiphon kondoi
blattella germanica	Blattella germanica
rattus rattus	Rattus rattus
broussonetia papyrifera	Broussonetia papyrifera
sporobolus anglicus	Sporobolus anglicus
sebastes schlegeli	Sebastes schlegelii
canicola	Canicola
gentoo penguin	Pygoscelis papua
avena sativa	Avena sativa
date palm	Phoenix dactylifera
lutjanus guttatus (rose snapper)	Lutjanus guttatus
parrot	Psittacidae
chaeturichthys stigmatias	Chaeturichthys stigmatias
aphis craccivora	Aphis craccivora
hyadaphis tataricae	Hyadaphis tataricae
macrosiphum gaurae	Macrosiphum gaurae
muscaphis stroyani	Muscaphis stroyani
aphis helianthi	Aphis helianthi
sitobion avenae	Sitobion avenae
cabbage	Brassica oleracea var. capitata
melanaphis sacchari	Melanaphis sacchari
soybean (glycine max (l.) merrill)	Glycine max
helicobacter pylori	Helicobacter pylori
trachinotus ovatus	Trachinotus ovatus
stachytarpheta glabra	Stachytarpheta glabra
camellia sinensis	Camellia sinensis
gallus	Gallus
casuarina equisetifolia	Casuarina equisetifolia
tribulus terrestris	Tribulus terrestris
lebeckia ambigua	Lebeckia ambigua
medicago sativa l. subsp. ambigua	Medicago sativa
olive knot (olea europaea)	Olea europaea
pyrus communis 'williams'	Pyrus communis
lion-tailed macaques	Panthera leo
opossum	Philander opossum
african elephants	Loxodonta
mactra veneriformis	Mactra quadrangularis
human	Homo sapiens
larvae	Tipula sp. larvae
chickens	Gallus gallus
activated sludge	activated sludge metagenome
freshwater	Hildenbrandia freshwater
biological fluid-human	Homo sapiens
spring	Hauffenia sp. Patrocnica spring
wild boar	Sus scrofa
bovine (bobby calf, fecal).bovine	Bos taurus
soybeans	Glycine max
feces, human	Homo sapiens
psittacus erithacus	Psittacus erithacus
black-headed gull	Chroicocephalus ridibundus
coral	Acacia coral
neophocaena phocaenoides	Neophocaena phocaenoides
siniperca scherzeri	Siniperca scherzeri
musca domestica	Musca domestica
scallop	Patinopecten sp.
aphis craccivora (cowpea aphid) on robinia pseudoacacia (locust).aphis craccivora	Aphis craccivora
california ground squirrel (spermophilus beecheyi)	Otospermophilus beecheyi
panda	Panda
black-collared starling	Gracupica nigricollis
red-breasted parakeet	Psittacula alexandri
white-lipped deer	Przewalskium albirostris
manis javanica	Manis javanica
greensboro, alabama	Alabama
dust	Polypterus sp. golden dust
bison	Bison
coastal	Doryodes coastal
konosirus punctatus	Konosirus punctatus
malus sp.	Malus sp.
iguana	Iguana
chamaeleonidae	Chamaeleonidae
gladiolus	Gladiolus
corn	Zea mays subsp. mays
sour cherry (prunus cerasus) symptomatic leaf	Prunus cerasus
ginseng	Panax ginseng
malus sylvestris	Malus sylvestris
leaf	Astroloma sp. sessile leaf
ixodes spinipalpis	Ixodes spinipalpis
ragi	Eleusine coracana subsp. coracana
pineapple	Ananas comosus
tomato, internal	Solanum lycopersicum
rice-wheat rotation soil	Oryza sativa
mus musculus-9	Mus musculus
high-temperature oilfield	Petrochromis sp. polyodon high
chicken-abbatoir-sporadic	Gallus gallus
rabbit, caecal	Oryctolagus cuniculus
r.j.roberts	Jikradia var. j
imported food: chilli pepper	Capsicum annuum var. annuum
tissue and/or biological fluid (swine)	Sus scrofa
derived from cip 106327 (collection de l'institute pasteur, paris, france)	Paris
sediment of a freshwater pond enriched in a fixed-bed reactor with 2,6-dichlorophenol as sole carbon and energy source	[Eubacterium] cellulosolvens
filtered seawater, 0.2-1 micron fraction	Pigritia sp. 0
animal-swine-sow	Sus scrofa
animal-cattle-steer	Bos taurus
goat, fecal	Capra hircus
alpaca, fecal	Vicugna pacos
oryza sativa, grain	Oryza sativa
oryza sativa, rhizosphere soil	Oryza sativa
host's whole body	Quercus mycorrhizal host
milk after contact with traditional sicilian wooden vat (tina)	Tina
baengnokdam summit crater area, mt. halla	Halla
swine's gut	Sus scrofa
thiodendron bacterial sulfur mat from mineral sulfide spring	Thiobacterium
	
NA	NA
